,alive,dead,percent,b,z,tage,Lx,dincl,inclination
114-25.0-73.24.txt,0.0,49.9689445,0.0,0.00958523847750865,0.002,20.0,8.900803648937669e+40,25.0,73.24
114-25.0-0.txt,49.9689445,0.0,1.0,0.00958523847750865,0.002,20.0,8.900803648937669e+40,25.0,0
114-30.0-0.txt,39.525779882999956,10.788863756000046,0.7855720924228636,0.00958523847750865,0.002,20.0,8.900803648937669e+40,30.0,0
114-30.0-25.99.txt,26.432349037999973,23.488520515000026,0.5294849483728898,0.00958523847750865,0.002,20.0,8.900803648937669e+40,30.0,25.99
114-35.0-0.txt,29.690981070999964,20.216268332000038,0.5949232110799357,0.00958523847750865,0.002,20.0,8.900803648937669e+40,35.0,0
114-35.0-84.55.txt,0.0,49.9689445,0.0,0.00958523847750865,0.002,20.0,8.900803648937669e+40,35.0,84.55
114-40.0-0.txt,25.102914216999952,24.82904979000005,0.5027423758753161,0.00958523847750865,0.002,20.0,8.900803648937669e+40,40.0,0
114-40.0-28.96.txt,24.726606076999982,25.209206495000014,0.495167792480555,0.00958523847750865,0.002,20.0,8.900803648937669e+40,40.0,28.96
114-45.0-0.txt,21.713768430999952,28.23493507900005,0.4347213622201973,0.00958523847750865,0.002,20.0,8.900803648937669e+40,45.0,0
114-45.0-61.6.txt,11.54987485000003,38.392476326999976,0.23126413910843477,0.00958523847750865,0.002,20.0,8.900803648937669e+40,45.0,61.6
115-5.0-36.47.txt,0.0,49.9689445,0.0,0.5890201501730534,0.002,20.0,6.391130060628108e+39,5.0,36.47
115-5.0-0.txt,49.9689445,0.0,1.0,0.5890201501730534,0.002,20.0,6.391130060628108e+39,5.0,0
115-10.0-67.21.txt,0.0,49.9689445,0.0,0.5890201501730534,0.002,20.0,6.391130060628108e+39,10.0,67.21
115-10.0-0.txt,24.26927355799996,25.66712259100004,0.4860037053051527,0.5890201501730534,0.002,20.0,6.391130060628108e+39,10.0,0
115-15.0-34.84.txt,0.0,49.9689445,0.0,0.5890201501730534,0.002,20.0,6.391130060628108e+39,15.0,34.84
115-15.0-0.txt,15.112412289999988,34.806816917000006,0.3027372924235943,0.5890201501730534,0.002,20.0,6.391130060628108e+39,15.0,0
115-20.0-21.08.txt,12.42379121700002,37.511484739999986,0.24879788844460032,0.5890201501730534,0.002,20.0,6.391130060628108e+39,20.0,21.08
115-20.0-0.txt,11.389115335999975,38.55003039100002,0.22805987507796632,0.5890201501730534,0.002,20.0,6.391130060628108e+39,20.0,0
115-25.0-0.txt,8.665616442000012,41.284963228999985,0.17348380137079855,0.5890201501730534,0.002,20.0,6.391130060628108e+39,25.0,0
115-25.0-50.14.txt,0.0,49.9689445,0.0,0.5890201501730534,0.002,20.0,6.391130060628108e+39,25.0,50.14
115-30.0-69.37.txt,0.0,49.9689445,0.0,0.5890201501730534,0.002,20.0,6.391130060628108e+39,30.0,69.37
115-30.0-0.txt,7.3664751399999915,42.591656186,0.14745297601165908,0.5890201501730534,0.002,20.0,6.391130060628108e+39,30.0,0
115-35.0-0.txt,6.343436636999977,43.55814722200002,0.12711894385804964,0.5890201501730534,0.002,20.0,6.391130060628108e+39,35.0,0
115-35.0-52.19.txt,0.0,49.9689445,0.0,0.5890201501730534,0.002,20.0,6.391130060628108e+39,35.0,52.19
115-40.0-0.txt,5.2444665589999735,44.168674994000014,0.10613505626584815,0.5890201501730534,0.002,20.0,6.391130060628108e+39,40.0,0
115-40.0-45.03.txt,4.922895522999996,45.026626774,0.09855740949289657,0.5890201501730534,0.002,20.0,6.391130060628108e+39,40.0,45.03
115-45.0-53.56.txt,0.0,49.9689445,0.0,0.5890201501730534,0.002,20.0,6.391130060628108e+39,45.0,53.56
115-45.0-0.txt,4.608296562999993,44.807911932,0.09325475797007508,0.5890201501730534,0.002,20.0,6.391130060628108e+39,45.0,0
116-5.0-30.36.txt,0.0,49.9689445,0.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,5.0,30.36
116-5.0-0.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,5.0,0
116-10.0-69.23.txt,0.0,49.9689445,0.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,10.0,69.23
116-10.0-0.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,10.0,0
116-15.0-0.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,15.0,0
116-15.0-30.1.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,15.0,30.1
116-20.0-0.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,20.0,0
116-20.0-25.06.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,20.0,25.06
116-25.0-0.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,25.0,0
116-25.0-57.78.txt,17.049203887000008,32.900200016999996,0.34132947651923207,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,25.0,57.78
116-30.0-16.71.txt,47.30395809399998,3.5306508960000182,0.9305463154699477,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,30.0,16.71
116-30.0-0.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,30.0,0
116-35.0-0.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,35.0,0
116-35.0-78.18.txt,6.387781688000013,43.546284259999986,0.12792432514212,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,35.0,78.18
116-40.0-0.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,40.0,0
116-40.0-89.82.txt,0.0,49.9689445,0.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,40.0,89.82
116-45.0-0.txt,49.9689445,0.0,1.0,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,45.0,0
116-45.0-10.38.txt,39.43065839799998,10.480926327000027,0.7900101472484347,0.2661111608713884,0.002,20.0,1.5107786926217204e+40,45.0,10.38
117-5.0-58.01.txt,0.0,49.9689445,0.0,0.0032,0.002,20.0,3.103717921008625e+42,5.0,58.01
117-5.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,5.0,0
117-10.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,10.0,0
117-10.0-32.25.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,10.0,32.25
117-15.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,15.0,0
117-15.0-80.41.txt,0.0,49.9689445,0.0,0.0032,0.002,20.0,3.103717921008625e+42,15.0,80.41
117-20.0-28.84.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,20.0,28.84
117-20.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,20.0,0
117-25.0-38.59.txt,42.492858817999974,8.292629924000025,0.836712609656507,0.0032,0.002,20.0,3.103717921008625e+42,25.0,38.59
117-25.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,25.0,0
117-30.0-33.44.txt,43.49067148799999,7.303976879000009,0.8562057792736839,0.0032,0.002,20.0,3.103717921008625e+42,30.0,33.44
117-30.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,30.0,0
117-35.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,35.0,0
117-35.0-84.1.txt,12.94224567600001,36.98700422199999,0.25921169860231436,0.0032,0.002,20.0,3.103717921008625e+42,35.0,84.1
117-40.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,40.0,0
117-40.0-58.7.txt,25.694137755999982,24.233024677000014,0.51463244662623,0.0032,0.002,20.0,3.103717921008625e+42,40.0,58.7
117-45.0-0.txt,49.9689445,0.0,1.0,0.0032,0.002,20.0,3.103717921008625e+42,45.0,0
117-45.0-54.0.txt,27.145032042999958,22.765990942000037,0.5438684767322438,0.0032,0.002,20.0,3.103717921008625e+42,45.0,54.0
118-5.0-37.46.txt,49.9689445,0.0,1.0,0.06644016719117585,0.002,20.0,6.666059619306712e+40,5.0,37.46
118-5.0-0.txt,49.9689445,0.0,1.0,0.06644016719117585,0.002,20.0,6.666059619306712e+40,5.0,0
118-10.0-39.0.txt,21.960726003999994,27.939690332000005,0.44009103764043583,0.06644016719117585,0.002,20.0,6.666059619306712e+40,10.0,39.0
118-10.0-0.txt,49.9689445,0.0,1.0,0.06644016719117585,0.002,20.0,6.666059619306712e+40,10.0,0
118-15.0-59.85.txt,0.0,49.9689445,0.0,0.06644016719117585,0.002,20.0,6.666059619306712e+40,15.0,59.85
118-15.0-0.txt,49.9689445,0.0,1.0,0.06644016719117585,0.002,20.0,6.666059619306712e+40,15.0,0
118-20.0-32.23.txt,28.984815127,20.970419696999997,0.5802157717628188,0.06644016719117585,0.002,20.0,6.666059619306712e+40,20.0,32.23
118-20.0-0.txt,49.9689445,0.0,1.0,0.06644016719117585,0.002,20.0,6.666059619306712e+40,20.0,0
118-25.0-0.txt,49.9689445,0.0,1.0,0.06644016719117585,0.002,20.0,6.666059619306712e+40,25.0,0
118-25.0-32.23.txt,28.06650912799997,21.83480309800003,0.5624403021886171,0.06644016719117585,0.002,20.0,6.666059619306712e+40,25.0,32.23
118-30.0-0.txt,49.9689445,0.0,1.0,0.06644016719117585,0.002,20.0,6.666059619306712e+40,30.0,0
118-30.0-12.58.txt,41.16970089399998,9.540149116000018,0.811867928733398,0.06644016719117585,0.002,20.0,6.666059619306712e+40,30.0,12.58
118-35.0-0.txt,49.9689445,0.0,1.0,0.06644016719117585,0.002,20.0,6.666059619306712e+40,35.0,0
118-35.0-47.92.txt,20.153369086000005,29.767555717999993,0.40370584409496324,0.06644016719117585,0.002,20.0,6.666059619306712e+40,35.0,47.92
