,Unnamed: 0,alive,dead,MCMC_iter,BH_NS,sim_num,system_num,inclination,dincl,ratio
81,928-15.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,15.0,0.0
82,928-33.0-57.07,8.161833749999985,41.791573736,37,0.30000000000000004,164,928,57.07,33.0,0.16338892901925522
83,928-29.0-57.07,1.9714397800000087,47.973267806,37,0.30000000000000004,164,928,57.07,29.0,0.0394724461366678
84,928-25.0-57.07,0.0,49.9689445,37,0.30000000000000004,164,928,57.07,25.0,0.0
85,928-45.0-57.07,13.964387869999975,35.97737189600002,37,0.30000000000000004,164,928,57.07,45.0,0.2796134524580136
86,928-44.0-57.07,13.664828069999993,36.25076123600001,37,0.30000000000000004,164,928,57.07,44.0,0.2737587246787737
87,928-41.0-57.07,12.63658744000001,37.264698685999996,37,0.30000000000000004,164,928,57.07,41.0,0.25323169843945137
88,928-43.0-57.07,13.360621490000002,36.586754496,37,0.30000000000000004,164,928,57.07,43.0,0.26749396191993985
89,928-42.0-57.07,12.948897100000009,36.97754114599999,37,0.30000000000000004,164,928,57.07,42.0,0.2593595208253705
90,969-9.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,9.0,1.0
91,969-3.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,3.0,1.0
92,969-2.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,2.0,1.0
93,969-5.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,5.0,1.0
94,969-39.0-23.17,30.98707223000001,18.95415752599999,3,0.1,2,969,23.17,39.0,0.6204707489462088
95,969-20.0-23.17,37.71706738,12.214664426000006,3,0.1,2,969,23.17,20.0,0.7553727062089955
96,969-19.0-23.17,38.62031232,11.283791616000006,3,0.1,2,969,23.17,19.0,0.7738905074726719
97,969-16.0-23.17,42.726204708000004,7.198828269999996,3,0.1,2,969,23.17,16.0,0.8558072405646234
98,969-27.0-23.17,33.94828583,16.003358706,3,0.1,2,969,23.17,27.0,0.6796229862969491
99,969-15.0-23.17,45.21570929599999,4.698201094000009,3,0.1,2,969,23.17,15.0,0.9058739125568236
100,969-18.0-23.17,39.67916024,10.241159536,3,0.1,2,969,23.17,18.0,0.7948498811314987
101,969-29.0-23.17,33.22569244,16.733254195999994,3,0.1,2,969,23.17,29.0,0.6650599077294765
102,969-7.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,7.0,1.0
103,969-14.0-23.17,49.9689445,0.0,3,0.1,2,969,23.17,14.0,1.0
104,969-30.0-23.17,32.90402944,17.024296886,3,0.1,2,969,23.17,30.0,0.65902528406736
105,969-21.0-23.17,37.02115560000001,12.927133275999992,3,0.1,2,969,23.17,21.0,0.7411896670155713
106,969-38.0-23.17,31.17057932000001,18.754180365999986,3,0.1,2,969,23.17,38.0,0.6243511138770874
107,969-23.0-23.17,35.75225925999999,14.199078906000011,3,0.1,2,969,23.17,23.0,0.7157417713452812
