1.8e+00    11.7    -160000      46748
1.9e+00    12.5    -160000      65515
2.0e+00    20.7    -160000     604215
1.1e+01    13.8    -160000     783605
2.1e+00    21.8    -160000     990498
2.1e+00    12.5    -160000    1078310
1.7e-01     6.5    -160000    1667709
5.8e-02     7.1    -160000    2063902
1.5e+00    12.6    -160000    2123682
2.2e+00    24.8    -160000    2552185
1.7e+00    17.6    -160000    2991819
5.3e+00    32.6    -160000    3237174
1.6e-02     6.6    -160000    3674711
2.8e+00    17.8    -160000    4891561
4.7e+02    17.2    -160000    5270466
1.4e+00    18.7    -160000    5403195
8.8e-01    23.0    -160000    6950676
3.0e+00    19.0    -160000    7646251
1.6e-01     5.9    -160000    7664644
3.8e+00    16.2    -160000    8214991
4.4e-01     8.3    -170000      85043
1.6e-01     6.9    -170000    1947557
3.7e+00    16.1    -170000    2422629
1.1e+00    21.4    -170000    4076335
2.0e-02     7.1    -170000    4270648
2.7e+00    16.2    -170000    4945837
5.1e+00    25.5    -170000    4991616
2.9e+00    34.1    -170000    5012653
1.1e+00    19.5    -170000    5965052
2.0e+00    20.7    -170000    6139706
6.6e-02     6.6    -170000    6149323
1.8e-01     7.5    -170000    6179731
1.6e+00    21.1    -170000    6332879
1.4e-02     6.9    -170000    6336384
1.1e+00    15.8    -170000    6413148
1.9e+00    12.9    -170000    6484411
1.2e-02     6.1    -170000    6512344
2.2e+00    17.6    -170000    6963085
2.3e-02     7.2    -170000    6979870
1.0e+00    32.9    -170000    7300055
4.7e+02    13.9    -170000    7886745
1.4e+00    30.1    -170000    8039039
2.3e-02     6.6    -170000    8673010
4.4e+00    35.5    -180000     530006
2.2e+00    13.2    -180000     901975
1.9e+00    21.5    -180000    1404571
1.3e+00    19.7    -180000    1559874
1.9e+00    16.4    -180000    1855746
2.6e+00    20.0    -180000    2786264
3.7e+00    25.1    -180000    3080098
1.4e+00    32.9    -180000    4257661
3.1e-01     9.7    -180000    4613649
2.7e+00    12.6    -180000    5102847
1.1e+01    14.9    -180000    6071455
1.4e-02     6.2    -180000    6435233
1.8e+00    23.9    -180000    6572800
2.8e+00    33.5    -180000    6782944
3.3e+00    19.0    -180000    6934316
4.1e+00    29.1    -180000    7779620
1.1e+00    30.4    -180000    7882223
2.6e+00    12.2    -180000    8131308
2.7e+00    22.6    -180000    8313896
1.1e+00    14.1    -180000    8443304
4.5e-02     6.7    -180000    8468704
3.1e+00    24.9    -180000    8515471
8.4e-01    32.4    -190000     168971
2.2e+00    23.5    -190000     594869
4.2e-02     6.4    -190000    1389173
1.5e-01     5.9    -190000    1409690
2.0e+00    19.9    -190000    1896632
9.3e-02     5.8    -190000    2016789
1.8e+00    20.1    -190000    2216731
2.0e-02     6.9    -190000    2354131
2.1e+00    30.1    -190000    2598837
4.6e+00    32.9    -190000    3401927
2.8e+00    18.4    -190000    3810800
1.7e+00    17.2    -190000    5742193
6.2e+00    14.8    -190000    6551220
1.9e+00    20.5    -190000    6693457
1.1e-01     5.9    -190000    7010290
1.9e+00    20.8    -190000    7062139
1.8e+00    22.3    -190000    7133192
7.3e-02     7.3    -190000    7330410
6.8e-02     8.7    -190000    7885895
2.7e+00    18.8    -190000    8447865
3.2e+00    26.2    -190000    8512057
2.6e+00    17.9    -190000    8667575
6.0e+02    31.7     -10000     105722
6.8e-02     6.0     -10000     291867
4.7e-01     7.0     -10000     501612
2.7e+02    23.1     -10000    1743727
1.3e-01     8.0     -10000    1765862
2.1e+00    18.7     -10000    2042077
1.5e+00    22.1     -10000    3214404
1.8e-01     7.4     -10000    3345219
8.6e-02     5.8     -10000    3427570
8.4e-02     6.8     -10000    3763684
8.8e-01    19.4     -10000    4230861
3.3e+00    26.2     -10000    5489759
4.4e+00    27.6     -10000    6125057
1.7e+00    15.6     -10000    6458302
2.6e+00    21.4     -10000    6535733
3.1e+00    20.1     -10000    6684748
1.6e+00    17.5     -10000    6898815
1.4e-02     6.2     -10000    7168408
1.9e+01    14.3     -10000    7228735
3.1e+00    17.0     -10000    7367063
5.4e-02     7.8     -10000    7733476
1.2e+00    21.8     -10000    8749888
3.0e+00    20.2    -200000      71220
1.9e+00    19.6    -200000     229829
2.7e-01     9.4    -200000    2943204
1.5e+00    16.4    -200000    3949858
1.9e+00    23.5    -200000    4152641
2.7e+00    15.5    -200000    4648994
1.9e-01     6.2    -200000    5151419
1.4e+00     1.8    -200000    5170438
2.9e-02     7.4    -200000    5425082
3.3e+00    18.7    -200000    7402717
2.1e+00    21.2    -200000    8013473
9.9e-02     7.4    -200000    8196721
2.2e+00    16.4     -20000      77307
1.5e-01     8.2     -20000     422782
2.1e+00    33.8     -20000    1127562
4.8e-02     8.3     -20000    1204425
3.2e+00    25.1     -20000    1207486
1.2e-01     6.2     -20000    1365968
3.1e-02     6.7     -20000    1636531
2.6e-01     8.9     -20000    2338761
2.7e+00    10.0     -20000    3657988
1.6e-02     5.7     -20000    4872507
1.8e+00    20.9     -20000    4961505
2.4e+00    21.4     -20000    5008658
1.6e+01    12.8     -20000    5151153
2.3e+00    17.7     -20000    5363672
1.8e+00    22.0     -20000    5884841
