,BH_NS,N_alive,N_dead,N_trans
966,0.9,405,4,91
967,1.0,459,0,41
968,0.0,111,34,355
969,0.1,153,28,319
970,0.2,175,31,294
971,0.30000000000000004,209,31,260
972,0.4,236,31,233
973,0.5,272,29,199
974,0.6000000000000001,306,15,179
975,0.7000000000000001,337,18,145
976,0.8,410,8,82
977,0.9,415,2,83
978,1.0,462,0,38
979,0.0,99,51,350
980,0.1,127,42,331
981,0.2,190,26,284
982,0.30000000000000004,215,17,268
983,0.4,243,26,231
984,0.5,295,17,188
985,0.6000000000000001,324,12,164
986,0.7000000000000001,330,16,154
987,0.8,387,12,101
988,0.9,430,2,68
989,1.0,464,0,36
990,0.0,108,42,350
991,0.1,154,42,304
992,0.2,173,32,295
993,0.30000000000000004,194,34,272
994,0.4,239,26,235
995,0.5,285,27,188
996,0.6000000000000001,300,23,177
997,0.7000000000000001,342,9,149
998,0.8,401,6,93
999,0.9,425,4,71
1000,1.0,468,0,32
1001,0.0,103,39,358
1002,0.1,136,34,330
1003,0.2,184,33,283
1004,0.30000000000000004,205,26,269
1005,0.4,264,30,206
1006,0.5,274,20,206
1007,0.6000000000000001,318,14,168
1008,0.7000000000000001,335,12,153
1009,0.8,393,8,99
1010,0.9,429,3,68
1011,1.0,465,0,35
1012,0.0,103,49,348
1013,0.1,138,35,327
1014,0.2,157,51,292
1015,0.30000000000000004,203,40,257
1016,0.4,245,21,234
1017,0.5,301,25,174
1018,0.6000000000000001,322,17,161
1019,0.7000000000000001,342,10,148
1020,0.8,380,7,113
1021,0.9,424,2,74
1022,1.0,463,0,37
1023,0.0,92,44,364
1024,0.1,129,27,344
1025,0.2,176,37,287
1026,0.30000000000000004,210,29,261
1027,0.4,227,21,252
1028,0.5,299,11,190
1029,0.6000000000000001,312,12,176
1030,0.7000000000000001,350,14,136
1031,0.8,373,11,116
1032,0.9,432,4,64
1033,1.0,453,0,47
1034,0.0,111,42,347
1035,0.1,159,32,309
1036,0.2,148,42,310
1037,0.30000000000000004,204,30,266
1038,0.4,243,27,230
1039,0.5,283,17,200
1040,0.6000000000000001,324,20,156
1041,0.7000000000000001,367,13,120
1042,0.8,380,9,111
1043,0.9,417,10,73
1044,1.0,465,0,35
1045,0.0,100,55,345
1046,0.1,127,39,334
1047,0.2,175,34,291
1048,0.30000000000000004,216,19,265
1049,0.4,235,29,236
1050,0.5,268,27,205
1051,0.6000000000000001,317,17,166
1052,0.7000000000000001,344,8,148
1053,0.8,393,6,101
1054,0.9,440,6,54
1055,1.0,463,0,37
1056,0.0,89,36,375
1057,0.1,148,39,313
1058,0.2,166,33,301
1059,0.30000000000000004,208,28,264
1060,0.4,250,25,225
1061,0.5,290,19,191
1062,0.6000000000000001,312,15,173
1063,0.7000000000000001,364,10,126
1064,0.8,386,17,97
1065,0.9,417,6,77
1066,1.0,463,0,37
1067,0.0,98,54,348
1068,0.1,136,39,325
1069,0.2,185,28,287
1070,0.30000000000000004,210,22,268
1071,0.4,264,15,221
1072,0.5,278,19,203
1073,0.6000000000000001,304,19,177
1074,0.7000000000000001,352,12,136
1075,0.8,404,12,84
1076,0.9,437,2,61
1077,1.0,467,0,33
1078,0.0,86,40,374
1079,0.1,136,40,324
1080,0.2,188,41,271
1081,0.30000000000000004,195,43,262
1082,0.4,253,25,222
1083,0.5,257,28,215
1084,0.6000000000000001,322,25,153
1085,0.7000000000000001,361,12,127
1086,0.8,389,10,101
1087,0.9,418,6,76
1088,1.0,460,0,40
1089,0.0,108,44,348
1090,0.1,121,36,343
1091,0.2,175,28,297
1092,0.30000000000000004,216,25,259
1093,0.4,260,23,217
1094,0.5,259,15,226
1095,0.6000000000000001,321,13,166
1096,0.7000000000000001,342,19,139
1097,0.8,388,6,106
1098,0.9,421,3,76
1099,1.0,462,0,38
