,mdot,m,Z,tage
315,7.5,14.5,0.002,10
316,2.3,21.6,0.002,10
317,1.5,19.6,0.002,10
318,2.3,14.5,0.002,10
319,0.71,19,0.002,10
320,0.05,8.8,0.002,10
321,0.025,6.3,0.002,10
322,0.047,7.6,0.002,10
323,0.014,6.9,0.002,10
324,0.17,6.5,0.002,10
325,0.26,9.7,0.002,10
326,2.1,33.8,0.002,10
327,0.014,6.3,0.002,10
328,0.15,8.2,0.002,10
329,0.42,18.2,0.002,10
330,0.19,7.2,0.002,10
331,1.8,19.7,0.002,10
332,1.9,27.1,0.002,10
333,3.1,12.3,0.002,10
334,2.5,30.7,0.002,10
335,2.8,1.9,0.002,10
336,0.1,5.6,0.002,10
337,1.6,16.8,0.002,10
338,5.1,26.9,0.002,10
339,0.078,6.1,0.002,10
340,1.5,1.9,0.002,10
341,4.3,28.3,0.002,10
342,2,36.9,0.002,10
343,2.2,21.7,0.002,10
344,0.042,7.5,0.002,10
345,2.8,19,0.002,10
346,0.054,6.8,0.002,10
347,2.2,16.4,0.002,10
348,0.099,7.4,0.002,10
349,2.1,21.2,0.002,10
350,1.5,32.9,0.002,10
351,1.8,22,0.002,10
352,2.3,17.7,0.002,10
353,16,12.8,0.002,10
354,2.4,21.4,0.002,10
355,1.8,20.9,0.002,10
356,0.016,5.7,0.002,10
357,2.7,10,0.002,10
358,0.26,8.9,0.002,10
359,0.12,6.2,0.002,10
360,1.6,21.1,0.002,10
361,0.18,7.5,0.002,10
362,0.066,6.6,0.002,10
363,0.11,6.8,0.002,10
364,0.54,11.8,0.002,10
365,2.6,25.8,0.002,10
366,3.7,16.8,0.002,10
367,0.13,6,0.002,10
368,3.9,21.5,0.002,10
369,3.3,18.7,0.002,10
370,0.029,7.4,0.002,10
371,1.4,1.8,0.002,10
372,0.19,6.2,0.002,10
373,2.7,15.5,0.002,10
374,1.9,23.5,0.002,10
375,1.5,16.4,0.002,10
376,1.3,29.1,0.002,10
377,0.27,9.4,0.002,10
378,3,20.2,0.002,10
379,0.048,8.3,0.002,10
380,0.34,5.7,0.002,10
381,3.2,25.1,0.002,10
382,0.031,6.7,0.002,10
383,1,17.5,0.002,10
384,0.0067,5.7,0.002,10
385,1.9,19.6,0.002,10
386,2.5,32.7,0.002,10
387,2.4,17.1,0.002,10
388,1.5,32.7,0.002,10
389,1.7,15.6,0.002,10
390,4.4,27.6,0.002,10
391,3.3,26.2,0.002,10
392,0.88,19.4,0.002,10
393,0.084,6.8,0.002,10
394,0.086,5.8,0.002,10
395,0.18,7.4,0.002,10
396,1.5,22.1,0.002,10
397,2.1,18.7,0.002,10
398,0.13,8,0.002,10
399,270,23.1,0.002,10
400,1.8,20.1,0.002,10
401,0.093,5.8,0.002,10
402,2,19.9,0.002,10
403,0.15,5.9,0.002,10
404,2.6,21.4,0.002,10
405,3.1,20.1,0.002,10
406,1.6,17.5,0.002,10
407,0.014,6.2,0.002,10
408,2.6,17.9,0.002,10
409,1.9,20.8,0.002,10
410,1.8,22.3,0.002,10
411,0.073,7.3,0.002,10
412,0.068,8.7,0.002,10
413,2.7,18.8,0.002,10
414,3.2,26.2,0.002,10
415,2.6,20,0.002,10
416,1.7,17.2,0.002,10
417,4.6,32.9,0.002,10
418,2.1,30.1,0.002,10
419,0.02,6.9,0.002,10
420,1.9,20.5,0.002,10
421,600,31.7,0.002,10
422,0.068,6,0.002,10
423,0.47,7,0.002,10
424,2.8,18.4,0.002,10
425,0.1,6.9,0.002,10
426,1.9,16.4,0.002,10
427,1.9,21.5,0.002,10
428,1.1,14.1,0.002,10
429,2.7,22.6,0.002,10
430,2.6,12.2,0.002,10
431,1.1,30.4,0.002,10
432,4.1,29.1,0.002,10
433,3.3,19,0.002,10
434,2.8,33.5,0.002,10
435,1.8,23.9,0.002,10
436,0.014,6.2,0.002,10
437,11,14.9,0.002,10
438,0.31,9.7,0.002,10
439,3.1,17,0.002,10
440,0.054,7.8,0.002,10
441,1.2,21.8,0.002,10
442,4.2,36.3,0.002,10
443,0.045,6.7,0.002,10
444,3.1,24.9,0.002,10
445,0.84,32.4,0.002,10
446,2.2,23.5,0.002,10
447,2.2,13.2,0.002,10
448,4.4,35.5,0.002,10
449,0.023,6.6,0.002,10
450,1.4,30.1,0.002,10
451,470,13.9,0.002,10
452,1,32.9,0.002,10
453,0.023,7.2,0.002,10
454,1.3,19.7,0.002,10
455,2.2,17.6,0.002,10
456,1.9,12.9,0.002,10
457,1.1,15.8,0.002,10
458,3.7,25.1,0.002,10
459,19,14.3,0.002,10
460,1.4,32.9,0.002,10
461,2.7,12.6,0.002,10
462,0.042,6.4,0.002,10
463,0.012,6.1,0.002,10
464,0.5,7.2,0.002,10
465,3.8,17.3,0.002,10
466,1.7,14.5,0.002,10
467,0.44,8.3,0.002,10
468,3.8,16.2,0.002,10
469,0.16,5.9,0.002,10
470,3,19,0.002,10
471,0.88,23,0.002,10
472,1.4,18.7,0.002,10
473,2.8,17.8,0.002,10
474,5.5,30.3,0.002,10
475,1.9,18.3,0.002,10
476,2.2,26.5,0.002,10
477,0.16,6.2,0.002,10
478,2.4,11.1,0.002,10
479,1.8,13.7,0.002,10
480,1.8,11.7,0.002,10
481,1.7,16.2,0.002,10
482,0.16,6.9,0.002,10
483,3.7,16.1,0.002,10
484,1.1,21.4,0.002,10
485,0.02,7.1,0.002,10
486,2,20.7,0.002,10
487,1.9,12.5,0.002,10
488,1.8,11.7,0.002,10
