,mdot,m,Z,tage,is_bh,mdot_gs,LEdd,MEdd,mdot_ratio,XLsph,XLsph2,LXtot,b,Lx,ratio,ratio_beamed,theta,theta_deg,theta_half_deg,zeta,R_g,a*,r_schw,r_isco_nospin,r_isco,r_sph,r_out,P_inflow_at_rsph,P_envelope,P_wind,P_inflow_days,P_envelope_days,P_wind_days
661,6.2,6.6,0.002,20,1,3.907711613050423e+20,7.920000000000001e+38,1.056e+19,37.00484482055325,9.168188075530622e+40,1.988308600360564e+40,3.651950685373231e+39,0.053309632106795915,6.85045186216485e+40,4.611048845168222,86.49560432026325,0.6559886336318976,37.585380115661344,18.792690057830672,2.938709626929397,973469.64,0.998,2.0,6.0,1.25,46.256056025691564,5773.409086532819,0.8595650326497944,13390.790084876799,776034.5380060493,9.94866935937262e-06,0.15498599635274074,8.981881226921868
678,4.0,8.9,0.002,20,1,2.521104266484144e+20,1.0680000000000001e+39,1.4240000000000002e+19,17.70438389384932,2.377458232143572e+40,6.137257193410295e+39,4.1372315220154845e+39,0.23289556799651695,1.7764320539055332e+40,3.873812286531352,16.633258931699743,1.3929620529676963,79.81084665692761,39.90542332846381,2.0,1312709.06,0.998,2.0,6.000000000000001,1.25,22.130479867311653,929.0213690122946,0.1454481940162875,256.3173935504323,5546.280392318238,1.6834281714848091e-06,0.0029666364994263,0.06419306009627591
691,3.7,8.8,0.002,20,1,2.3320214464978328e+20,1.0560000000000002e+39,1.4080000000000002e+19,16.56265231887665,2.0219254836254028e+40,5.31086330754477e+39,4.020350717133245e+39,0.2661111608713884,1.5107786926217204e+40,3.807150300315573,14.306616407402652,1.4935338236603657,85.57318465577508,42.78659232788754,2.0,1297959.5200000005,0.998,2.0,6.0,1.25,20.70331539859581,760.6290452626625,0.11905652114142118,160.70123049682763,3100.90076750577,1.3779689946923748e-06,0.0018599679455651344,0.03589005517946494
696,6.9,8.2,0.002,20,1,4.348904859685148e+20,9.84e+38,1.312e+19,33.14714069881973,8.921409790505483e+40,1.9821142174592607e+40,4.42894115613084e+39,0.06644016719117585,6.666059619306712e+40,4.500956459482562,67.74450832628773,0.7331532076501733,42.00658453483339,21.003292267416693,2.6046417129410715,1209462.28,0.998,2.0,6.0,1.25,41.43392587352466,4681.698791114353,0.7840423700640142,10010.005151714975,527136.3492484194,9.074564468333498e-06,0.11585654110781222,6.101115153338188
740,4.4,8.9,0.002,20,1,2.773214693132558e+20,1.0680000000000001e+39,1.4240000000000002e+19,19.474822283234253,2.947502574373449e+40,7.426081204026456e+39,4.2390227940465033e+39,0.19247567603017932,2.2023680505903733e+40,3.969122466335676,20.621423694666415,1.261707186641342,72.29049677587375,36.14524838793688,2.0,1312709.06,0.998,2.0,6.000000000000001,1.25,24.343527854042822,1236.527442155364,0.19045309768925348,491.3925031531803,12548.266343339883,2.2043182602922856e-06,0.005687413230939587,0.14523456415902644
767,13.0,19.7,0.0002,20,1,8.193588866073466e+20,2.364e+39,3.152e+19,25.994888534497036,1.2469822619067945e+41,2.9286321524772916e+40,1.0065675420021938e+40,0.10803063803433854,9.317426614496593e+40,4.257899923867148,39.41381816622924,0.9382272633744771,53.75646241546667,26.878231207733336,2.0,2905659.38,0.998,2.0,6.000000000000001,1.25,32.49361066812129,2940.6756672553547,0.951409397135196,7792.301493064109,332479.8553816544,1.1011682837212917e-05,0.09018867468824203,3.848146474324704
777,8.9,19.6,0.0002,20,1,5.60945699292722e+20,2.3520000000000002e+39,3.136000000000001e+19,17.887299084589348,5.358678183139522e+40,1.3796479803511682e+40,9.135381826555571e+39,0.2281567504776681,4.00399366112542e+40,3.8840909126511782,17.02378257281216,1.3781224208445333,78.96059836674362,39.48029918337181,2.0,2890909.840000001,0.998,2.0,6.0,1.25,22.359123855736684,958.1148146572498,0.3297714451297302,605.5340859086409,13337.54069094479,3.816799133445952e-06,0.007008496364683344,0.1543696839229721
789,3.7,8.6,0.0002,20,1,2.3320214464978328e+20,1.032e+39,1.3760000000000002e+19,16.94783027978076,2.081440365354128e+40,5.434371756557438e+39,3.9527042927335604e+39,0.2541526531256184,1.5552480936643548e+40,3.830139818540272,15.070233465739873,1.4579806413624814,83.53613736184708,41.76806868092354,2.0,1268460.44,0.998,2.0,6.000000000000001,1.25,21.18478784972595,814.9398743714977,0.12418830855728386,183.7738059445984,3688.5649593241083,1.4373646823759706e-06,0.0021270116428772964,0.042691724066251255
807,11.0,12.4,0.002,20,1,6.933036732831395e+20,1.488e+39,1.984e+19,34.94474159693243,1.516976782408757e+41,3.331256185273964e+40,6.776006787477358e+39,0.05978045185486758,1.133482029197079e+41,4.553768002336934,76.17486755356714,0.6950438854824887,39.82308121452071,19.91154060726036,2.7607319524156626,1828942.96,0.998,2.0,6.0,1.25,43.680926996165546,5175.287768213338,1.3751037624795468,19302.821048625865,1063894.6593128005,1.5915552806476236e-05,0.22341228065539195,12.313595593898153
809,5.6,9.0,0.002,20,1,3.529545973077801e+20,1.0800000000000001e+39,1.4400000000000002e+19,24.510735924151398,4.994997442316613e+40,1.1895368275761016e+40,4.535040120358795e+39,0.12150947885701582,3.732252136226611e+40,4.199111222554439,34.55789015024639,0.9962057128719328,57.07838287438326,28.53919143719163,2.0,1327458.6,0.998,2.0,6.0,1.25,30.638419905189238,2465.20081276808,0.3683809618273092,2384.893852165544,91544.1102489163,4.26366853966793e-06,0.027602938103767863,1.0595383130661609
830,4.5,9.0,0.002,20,1,2.836242299794661e+20,1.0800000000000001e+39,1.4400000000000002e+19,19.696127081907367,3.057426222114448e+40,7.68116095612757e+39,4.298855783316778e+39,0.18817467935585272,2.2845027811564983e+40,3.9804220215896087,21.152803529226833,1.2470497768457347,71.45068905599173,35.725344527995865,2.0,1327458.6,0.998,2.0,6.0,1.25,24.62015885238421,1279.1626279125544,0.1988405871979433,536.7534698699964,13980.311103613063,2.301395685161381e-06,0.0062124244197916244,0.16180915629181786
